stratum,class_name,gt_count,lidar_point_median,ap_0.5m,ap_1m,ap_2m,ap_4m,lca0_ap
0-30m,car,31754,,0.8853773929267001,0.9395982547665496,0.9518273475261586,0.9613678223176645,0.9345427043842682
0-30m,truck,4853,,0.5212563733392028,0.7135321655409641,0.7965564075855507,0.8174894197782345,0.712208591560988
0-30m,trailer,1021,,0.3004823179513984,0.5345328917387272,0.6757613105121614,0.7650388168671879,0.5689538342673687
0-30m,bus,1021,,0.6597049222666462,0.8772991604154986,0.9512922894208573,0.9655557015012693,0.8634630184010678
0-30m,construction_vehicle,776,,0.13320455031981732,0.37127123057637634,0.5621749777210383,0.7031445822045908,0.4424488352054557
0-30m,bicycle,1517,,0.7608559156968968,0.8189405869453356,0.8334645917475515,0.8391436036183703,0.8131011745020386
0-30m,motorcycle,1405,,0.7738318156457022,0.8657071583839334,0.8828715943092207,0.8897064351032131,0.8530292508605173
0-30m,emergency_vehicle,48,,0.43097425088229385,0.43097425088229385,0.43097425088229385,0.43097425088229385,0.43097425088229385
0-30m,adult,17060,,0.8807260885536877,0.8988736517329516,0.909335986106009,0.9191022919184142,0.9020095045777656
0-30m,child,125,,0.32434081627015643,0.3585536093218485,0.37340169335577456,0.4242414576641776,0.3701343941529892
0-30m,police_officer,61,,0.18687473053249243,0.18687473053249243,0.18687473053249243,0.18695206590311275,0.1868940643751475
0-30m,construction_worker,770,,0.6183638507586244,0.6479639900290768,0.662549809071614,0.6961283642692757,0.6562515035321477
0-30m,stroller,64,,0.3465652173765575,0.4027785412030663,0.4252742506290687,0.5071127457840195,0.42043268874817796
0-30m,personal_mobility,13,,0.38016047071621,0.4264413466671442,0.4697719773645186,0.6778789182911789,0.4885631782597629
0-30m,pushable_pullable,2376,,0.5292016552617244,0.6057263883946091,0.6213614337931808,0.6303188177328989,0.5966520737956034
0-30m,debris,305,,0.11285284184082707,0.11307928699957244,0.11396516645263675,0.11641048833149069,0.11407694590613174
0-30m,traffic_cone,10570,,0.7917572824657114,0.8126008309366748,0.8292606619299234,0.8561946903310088,0.8224533664158296
0-30m,barrier,15903,,0.6703499365317315,0.7579572894170518,0.7904817204281014,0.804448500775023,0.7558093617879769
30-50m,car,21289,,0.5477041367130175,0.7191497579888533,0.7770365495403714,0.8128647548081998,0.7141887997626105
30-50m,truck,4407,,0.23356061053766095,0.4293778657940871,0.5356046899357382,0.6076459970791259,0.45154729083665307
30-50m,trailer,1310,,0.07017276188015238,0.2089095819026469,0.407868030216069,0.5027364040394616,0.29742169450958245
30-50m,bus,1041,,0.27945304396415965,0.6105875038857187,0.8137601118196466,0.8644535222320963,0.6420635454754053
30-50m,construction_vehicle,737,,0.026591549814611898,0.11857068795202665,0.2680042453381884,0.4481417269610661,0.21532705251647327
30-50m,bicycle,307,,0.18948652312812875,0.2713420281493386,0.29008308712550124,0.310763679562683,0.26541882949141293
30-50m,motorcycle,450,,0.30432370989835195,0.5059355168857745,0.5704778566068399,0.5888444420289578,0.49239538135498107
30-50m,emergency_vehicle,29,,0.001994531313501109,0.001994531313501109,0.001994531313501109,0.001994531313501109,0.001994531313501109
30-50m,adult,5244,,0.571616653395351,0.6294263412915071,0.6647721288537878,0.6909028635027852,0.6391794967608577
30-50m,child,34,,0.008424638943495988,0.011962909888228693,0.01386544746666102,0.02474726504359817,0.014750065335495968
30-50m,police_officer,11,,9.519590378357355e-06,9.519590378357355e-06,3.7084511057067724e-05,0.00011432139782978506,4.2611272410891874e-05
30-50m,construction_worker,195,,0.12780425718806618,0.1476065434582409,0.1621839551957731,0.19434201306882737,0.1579841922277269
30-50m,stroller,13,,0.2614695112903698,0.44173065007471624,0.4578264329697095,0.4599764379132489,0.4052507580620111
30-50m,personal_mobility,2,,0.0,0.0,0.0,0.0,0.0
30-50m,pushable_pullable,347,,0.03485833053939531,0.048919975378444974,0.052547433923994774,0.055714051654263394,0.048009947874024614
30-50m,debris,0,,0.0,0.0,0.0,0.0,0.0
30-50m,traffic_cone,0,,0.0,0.0,0.0,0.0,0.0
30-50m,barrier,0,,0.0,0.0,0.0,0.0,0.0
sparse (<= class median),car,26611,13.0,0.5737247020341227,0.7438759511765872,0.7991261705653127,0.830426937432752,0.7367884403021937
sparse (<= class median),truck,4656,36.0,0.19163070302577268,0.3718789320150205,0.4751209912961262,0.5648342950202645,0.40086623033929597
sparse (<= class median),trailer,1172,51.0,0.01749394652505084,0.10342855336970327,0.25833355436235617,0.4094376427628167,0.19717342425498174
sparse (<= class median),bus,1032,70.0,0.25512249172820245,0.5853750864560365,0.798202948975173,0.8511142102751407,0.6224536843586381
sparse (<= class median),construction_vehicle,772,25.0,0.02610116180274934,0.11713658814837113,0.2672698696504584,0.41433517824129495,0.20621069946071846
sparse (<= class median),bicycle,987,6.0,0.4850050323245294,0.5924840307781898,0.6158491733195705,0.6355431940544997,0.5822203576191973
sparse (<= class median),motorcycle,972,7.0,0.4230598569061354,0.6187595314794764,0.675000103613613,0.6965963865656132,0.6033539696412095
sparse (<= class median),emergency_vehicle,39,44.0,0.008001377303851434,0.008001377303851434,0.008001377303851434,0.008001377303851434,0.008001377303851434
sparse (<= class median),adult,12434,6.0,0.7480971684664067,0.7908575322739512,0.8219521392340363,0.8440349565081929,0.8012354491206467
sparse (<= class median),child,93,4.0,0.10151133638633215,0.12850618078376472,0.14134072964180702,0.18990108258778118,0.14031483234992126
